Unnamed: 0,user_id,history,impressions,candidate,truth
0,U739186,N71586 N9375 N66190 N50428 N73137,N122640-0 N18356-0 N18190-0 N69938-1 N30582-0 N46894-0 N122944-0 N29160-0 N58465-0 N123209-0 N35304-0 N30206-0 N54368-0 N12974-0,"['N122640', 'N18356', 'N18190', 'N69938', 'N30582', 'N46894', 'N122944', 'N29160', 'N58465', 'N123209', 'N35304', 'N30206', 'N54368', 'N12974']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,U303489,N72976 N72976 N77541 N120305 N76810,N29160-0 N69938-0 N18190-0 N30582-0 N35304-0 N72977-0 N12384-0 N122944-1 N46894-0 N128045-0 N54368-0 N62800-0 N123209-0 N82573-0,"['N29160', 'N69938', 'N18190', 'N30582', 'N35304', 'N72977', 'N12384', 'N122944', 'N46894', 'N128045', 'N54368', 'N62800', 'N123209', 'N82573']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2,U249830,N60457 N112642 N104737 N108801 N86394,N53018-0 N54368-0 N69938-0 N91737-0 N18190-0 N89764-0 N92905-1 N26703-0 N29160-0 N30206-0 N117802-0 N18356-0 N129416-0 N122944-0,"['N53018', 'N54368', 'N69938', 'N91737', 'N18190', 'N89764', 'N92905', 'N26703', 'N29160', 'N30206', 'N117802', 'N18356', 'N129416', 'N122944']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
3,U735372,N92279 N26935 N748 N32756 N128483,N112897-0 N33983-0 N123462-0 N87192-0 N73556-0 N2110-0 N113286-0 N26553-0 N92223-0 N17038-1 N125045-0 N93453-0 N117105-0,"['N112897', 'N33983', 'N123462', 'N87192', 'N73556', 'N2110', 'N113286', 'N26553', 'N92223', 'N17038', 'N125045', 'N93453', 'N117105']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
4,U411555,N48412 N50012 N72212 N69591 N27723,N122640-0 N54368-0 N18356-0 N123209-0 N117802-0 N35304-0 N29160-1 N89764-0 N69938-0 N18190-0 N30206-1 N122944-0 N58465-0,"['N122640', 'N54368', 'N18356', 'N123209', 'N117802', 'N35304', 'N29160', 'N89764', 'N69938', 'N18190', 'N30206', 'N122944', 'N58465']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
5,U726847,N71977 N91597 N72187 N121652 N67533,N49978-0 N18190-0 N117802-0 N122944-0 N89764-0 N30206-0 N29160-1 N91737-0 N58465-0 N18356-0 N69938-0 N54368-0 N46894-0,"['N49978', 'N18190', 'N117802', 'N122944', 'N89764', 'N30206', 'N29160', 'N91737', 'N58465', 'N18356', 'N69938', 'N54368', 'N46894']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
6,U740818,N85722 N24885 N121550 N104737 N95066,N46641-0 N129416-0 N21018-0 N119999-0 N46555-0 N30206-0 N89764-0 N56602-0 N117802-0 N92905-0 N58760-0 N2110-0 N112536-0 N91737-1 N29160-0,"['N46641', 'N129416', 'N21018', 'N119999', 'N46555', 'N30206', 'N89764', 'N56602', 'N117802', 'N92905', 'N58760', 'N2110', 'N112536', 'N91737', 'N29160']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
7,U417777,N98062 N116703 N91319 N80778 N94196,N4331-0 N15438-0 N80770-0 N69938-0 N19834-0 N19162-0 N44453-0 N5521-0 N56565-1 N121375-0 N76254-0 N87470-0 N121138-0,"['N4331', 'N15438', 'N80770', 'N69938', 'N19834', 'N19162', 'N44453', 'N5521', 'N56565', 'N121375', 'N76254', 'N87470', 'N121138']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
8,U611365,N68780 N65259 N454 N42974 N48839,N89764-0 N29160-0 N53018-0 N56602-0 N91737-0 N21018-0 N119999-0 N129416-0 N2110-1 N18468-0 N112536-0 N46641-0,"['N89764', 'N29160', 'N53018', 'N56602', 'N91737', 'N21018', 'N119999', 'N129416', 'N2110', 'N18468', 'N112536', 'N46641']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
9,U718281,N88935 N59327 N45124 N13865 N67369,N53018-0 N29160-0 N34044-0 N91737-0 N92905-0 N129416-0 N56602-1 N26703-0 N117802-0 N2110-0 N112536-0 N54368-0 N89764-0,"['N53018', 'N29160', 'N34044', 'N91737', 'N92905', 'N129416', 'N56602', 'N26703', 'N117802', 'N2110', 'N112536', 'N54368', 'N89764']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
10,U488403,N127916 N49262 N9892 N59351 N31649,N18190-0 N122944-0 N26703-0 N54368-0 N91737-0 N18356-0 N129416-0 N53018-0 N29160-0 N117802-0 N46894-0 N92905-0 N30206-1 N89764-0 N69938-0,"['N18190', 'N122944', 'N26703', 'N54368', 'N91737', 'N18356', 'N129416', 'N53018', 'N29160', 'N117802', 'N46894', 'N92905', 'N30206', 'N89764', 'N69938']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
11,U142987,N26421 N32369 N13193 N115743 N23929,N59297-0 N122640-1 N55801-0 N104644-0 N18190-0 N122944-0 N29160-0 N54368-0 N69938-0 N128045-0 N80770-0 N12384-0,"['N59297', 'N122640', 'N55801', 'N104644', 'N18190', 'N122944', 'N29160', 'N54368', 'N69938', 'N128045', 'N80770', 'N12384']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,U194823,N68185 N77440 N127916 N55780 N72133,N93453-0 N112897-0 N92223-0 N73556-0 N113286-0 N17038-0 N26553-0 N28863-0 N117105-0 N33983-0 N125045-0 N87192-1 N2110-0 N123462-0,"['N93453', 'N112897', 'N92223', 'N73556', 'N113286', 'N17038', 'N26553', 'N28863', 'N117105', 'N33983', 'N125045', 'N87192', 'N2110', 'N123462']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
13,U713597,N109436 N27779 N13674 N62115 N107862,N69938-0 N19834-0 N44453-0 N5521-0 N110073-0 N76254-0 N94999-0 N4331-0 N19162-0 N51163-0 N103830-0 N83491-0 N80770-0 N15438-1,"['N69938', 'N19834', 'N44453', 'N5521', 'N110073', 'N76254', 'N94999', 'N4331', 'N19162', 'N51163', 'N103830', 'N83491', 'N80770', 'N15438']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
14,U725344,N67623 N64926 N11821 N63066 N42718,N18468-1 N56602-0 N119999-0 N53018-1 N91737-0 N2110-0 N46641-0 N129416-0 N29160-1 N89764-0 N112536-0 N21018-0,"['N18468', 'N56602', 'N119999', 'N53018', 'N91737', 'N2110', 'N46641', 'N129416', 'N29160', 'N89764', 'N112536', 'N21018']","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
15,U46974,N125042 N53933 N110572 N66184 N87788,N80770-0 N72977-0 N18190-0 N55801-0 N69938-1 N128045-0 N59297-0 N82503-0 N4378-0 N82573-0 N122944-1 N104644-0 N54368-0 N29160-0,"['N80770', 'N72977', 'N18190', 'N55801', 'N69938', 'N128045', 'N59297', 'N82503', 'N4378', 'N82573', 'N122944', 'N104644', 'N54368', 'N29160']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
16,U111798,N27038 N55661 N98095 N71643 N23929,N55801-0 N12384-0 N122944-0 N128045-0 N123209-0 N69938-1 N35304-0 N18190-0 N30582-0 N29160-0 N54368-0 N25621-0 N46894-0 N122640-0,"['N55801', 'N12384', 'N122944', 'N128045', 'N123209', 'N69938', 'N35304', 'N18190', 'N30582', 'N29160', 'N54368', 'N25621', 'N46894', 'N122640']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
17,U724383,N90578 N50694 N128313 N40228 N18601,N99846-0 N47891-0 N89764-1 N119999-0 N91737-0 N58760-0 N46555-0 N112536-0 N21018-0 N29160-0 N129416-0 N2110-0 N56602-0 N46641-1,"['N99846', 'N47891', 'N89764', 'N119999', 'N91737', 'N58760', 'N46555', 'N112536', 'N21018', 'N29160', 'N129416', 'N2110', 'N56602', 'N46641']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
18,U659653,N34885 N18399 N4858 N82055 N67369,N69938-0 N18190-0 N54368-0 N89764-0 N92905-0 N29160-1 N120089-0 N117802-0 N91737-0 N30206-0 N122944-1 N53018-0 N26703-0 N129416-0 N18356-0,"['N69938', 'N18190', 'N54368', 'N89764', 'N92905', 'N29160', 'N120089', 'N117802', 'N91737', 'N30206', 'N122944', 'N53018', 'N26703', 'N129416', 'N18356']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
19,U670297,N50645 N61712 N115704 N96185 N95066,N56602-0 N129416-0 N112536-0 N18468-0 N53018-0 N89764-0 N91737-0 N29160-0 N21018-0 N2110-0 N46641-0 N119999-1,"['N56602', 'N129416', 'N112536', 'N18468', 'N53018', 'N89764', 'N91737', 'N29160', 'N21018', 'N2110', 'N46641', 'N119999']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
20,U405971,N108284 N43428 N15899 N77734 N72976,N122944-0 N62800-0 N55801-0 N44453-0 N46894-0 N30582-0 N72977-0 N18190-0 N99609-0 N82573-0 N29160-1 N126067-0 N69938-0 N40742-0 N3623-0,"['N122944', 'N62800', 'N55801', 'N44453', 'N46894', 'N30582', 'N72977', 'N18190', 'N99609', 'N82573', 'N29160', 'N126067', 'N69938', 'N40742', 'N3623']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
21,U738408,N8223 N41632 N81921 N59416 N90472,N2110-0 N17038-0 N28863-0 N107199-0 N99846-0 N129416-1 N26553-0 N21018-0 N125045-0 N56784-0 N19831-0 N119999-0 N123462-0 N64957-0 N46555-0,"['N2110', 'N17038', 'N28863', 'N107199', 'N99846', 'N129416', 'N26553', 'N21018', 'N125045', 'N56784', 'N19831', 'N119999', 'N123462', 'N64957', 'N46555']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,U229800,N40228 N94765 N48804 N6958 N111739,N46555-0 N117802-0 N58760-0 N112536-0 N2110-0 N119999-0 N29160-0 N92905-0 N56602-0 N91737-1 N46641-0 N89764-1 N30206-0 N21018-0 N129416-0,"['N46555', 'N117802', 'N58760', 'N112536', 'N2110', 'N119999', 'N29160', 'N92905', 'N56602', 'N91737', 'N46641', 'N89764', 'N30206', 'N21018', 'N129416']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
23,U712704,N94639 N72571 N28597 N71977 N92385,N69938-0 N18190-0 N122640-0 N18356-0 N29160-0 N58465-0 N30582-0 N12974-0 N35304-0 N54368-0 N122944-1 N123209-0 N46894-0 N30206-0,"['N69938', 'N18190', 'N122640', 'N18356', 'N29160', 'N58465', 'N30582', 'N12974', 'N35304', 'N54368', 'N122944', 'N123209', 'N46894', 'N30206']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
24,U739684,N38627 N128909 N46994 N124752 N63174,N56602-0 N89764-0 N119999-0 N29160-0 N129416-0 N112536-0 N53018-0 N46641-0 N18468-1 N21018-0 N91737-0 N2110-0,"['N56602', 'N89764', 'N119999', 'N29160', 'N129416', 'N112536', 'N53018', 'N46641', 'N18468', 'N21018', 'N91737', 'N2110']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
25,U732652,N129040 N104779 N48188 N93049 N91597,N69938-0 N91737-0 N89764-0 N18190-0 N46894-0 N30206-0 N54368-0 N58465-0 N18356-0 N29160-0 N122944-1 N117802-0 N49978-0,"['N69938', 'N91737', 'N89764', 'N18190', 'N46894', 'N30206', 'N54368', 'N58465', 'N18356', 'N29160', 'N122944', 'N117802', 'N49978']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
26,U389074,N103933 N98238 N35046 N60882 N50441,N2110-0 N30206-0 N35304-0 N69938-0 N34044-0 N112536-0 N117802-0 N48833-0 N29160-0 N40742-0 N129416-0 N54368-0 N92905-0 N122944-0 N123209-1,"['N2110', 'N30206', 'N35304', 'N69938', 'N34044', 'N112536', 'N117802', 'N48833', 'N29160', 'N40742', 'N129416', 'N54368', 'N92905', 'N122944', 'N123209']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
27,U209174,N13178 N44660 N68097 N72133 N51279,N46555-0 N89764-0 N21018-0 N112536-1 N129416-0 N119999-0 N56602-0 N58760-0 N91737-1 N29160-0 N2110-0 N46641-0,"['N46555', 'N89764', 'N21018', 'N112536', 'N129416', 'N119999', 'N56602', 'N58760', 'N91737', 'N29160', 'N2110', 'N46641']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
28,U307953,N110755 N66535 N71496 N99636 N127806,N54368-0 N122944-0 N18190-0 N30206-0 N58465-0 N89764-0 N122640-0 N69938-0 N29160-1 N47891-0 N117802-0 N30582-0 N18356-0 N46894-0,"['N54368', 'N122944', 'N18190', 'N30206', 'N58465', 'N89764', 'N122640', 'N69938', 'N29160', 'N47891', 'N117802', 'N30582', 'N18356', 'N46894']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
29,U481187,N65119 N78993 N81364 N29433 N31323,N18190-0 N128045-0 N104644-0 N122640-0 N80770-0 N122944-0 N72977-0 N69938-1 N55801-0 N59297-0 N54368-0 N29160-0,"['N18190', 'N128045', 'N104644', 'N122640', 'N80770', 'N122944', 'N72977', 'N69938', 'N55801', 'N59297', 'N54368', 'N29160']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
